label,frame,valid,rel_x_mm,rel_y_mm,rel_z_mm,abs_x_mm,abs_y_mm,abs_z_mm,point_count,inlier_count,reproj_mean_px,reproj_p95_px,centroid_u_px,centroid_v_px,span_u_px,span_v_px
logged,1613,1,0.0831826414578245,0.02001537859837299,0.07598705665870398,93.06225966645229,44.096062097909154,-140.9564134508726,53,,0.726,1.913,1552.658,691.079,132.761,279.143
logged,1614,1,0.12885552640648257,-0.022962739811319466,0.15365860176001434,93.10793255140095,44.05308397949946,-140.87874190577128,53,,0.731,1.932,1552.604,691.013,132.501,279.054
logged,1615,1,0.1030222890836967,-0.0043952813079428665,0.14750284557990767,93.08209931407816,44.07165143800284,-140.88489766195138,52,,0.72,1.925,1551.869,693.567,132.573,279.105
logged,1616,1,0.1413173189457666,0.0066635709061131365,0.20631774569517347,93.12039434394023,44.082710290216895,-140.82608276183612,52,,0.723,1.934,1551.952,693.666,132.549,279.106
logged,1617,1,0.12124160419705277,-0.002733406782638781,0.1701146727918399,93.10031862919152,44.07331331252814,-140.86228583473945,52,,0.73,1.934,1551.897,693.551,132.548,279.093
logged,1618,1,0.10706388025020885,-0.024139436248042045,0.16878273953037137,93.08614090524468,44.05190728306274,-140.86361776800092,52,,0.738,1.916,1551.829,693.524,132.623,279.082
logged,1619,1,0.05306197445935368,0.018994777251201356,0.06464228727116961,93.03213899945382,44.09504149656198,-140.96775822026012,52,,0.719,1.92,1551.856,693.652,132.679,279.171
logged,1620,1,0.060141480676492165,-0.002142930156622924,0.08424019321185483,93.03921850567096,44.07390378915416,-140.94816031431944,52,,0.703,1.893,1551.84,693.566,132.686,279.245
logged,1621,1,0.0729250856227992,0.009278202733028706,0.10321747352529087,93.05200211061727,44.08532492204381,-140.929183034006,52,,0.71,1.923,1551.878,693.72,132.65,279.17
logged,1622,1,0.07296257497212366,0.01582874498816267,0.1281792240791333,93.05203959996659,44.091875464298944,-140.90422128345216,52,,0.729,1.923,1551.828,693.578,132.267,279.171
logged,1623,1,0.07582572483772765,0.023024798904543786,0.14046821024072642,93.0549027498322,44.099071518215325,-140.89193229729057,52,,0.735,1.886,1551.825,693.678,132.229,279.212
logged,1624,1,0.08239484303385325,0.006228387686718406,0.13176606933592439,93.06147186802832,44.0822751069975,-140.90063443819537,52,,0.73,1.911,1551.823,693.633,132.273,279.176
logged,1625,1,0.0711512086086259,-0.011809414178287625,0.13591557397990073,93.0502282336031,44.064237305132494,-140.8964849335514,52,,0.736,1.904,1551.774,693.664,132.177,279.173
logged,1626,1,0.03411086128166119,-0.0038465728856920123,0.07787588214364405,93.01318788627613,44.07220014642509,-140.95452462538765,52,,0.732,1.906,1551.744,693.575,132.559,279.194
logged,1627,1,0.08153171686029737,-0.04181230407113645,0.1509844706387753,93.06060874185476,44.034234415239645,-140.88141603689252,52,,0.731,1.897,1551.764,693.56,132.499,279.11
logged,1628,1,-0.010775836829481023,-0.0010948977530915727,0.015927414715946497,92.96830118816499,44.07495182155769,-141.01647309281535,52,,0.724,1.878,1551.699,693.598,132.579,279.248
logged,1629,1,0.06754906580709985,0.007421270887789433,0.1497432751311294,93.04662609080157,44.08346799019857,-140.88265723240016,52,,0.731,1.914,1551.77,693.664,132.524,279.1
logged,1630,1,0.007853181724328806,0.0446738376210547,0.05208239404066717,92.9869302067188,44.120720556931836,-140.98031811349063,52,,0.722,1.922,1551.78,693.71,132.601,279.153
