frame,wall_ms,mode,success,message,det_valid,det_tracking,det_stable,det_corners,pose_corners,num_points,num_inliers,mean_err,max_err,confidence,persistent_count
443,87.7,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.173,0.351,0.983,30
444,86.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.101,0.259,0.990,30
445,86.8,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.119,0.210,0.988,30
446,86.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.087,0.228,0.991,30
447,86.7,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.098,0.224,0.990,30
448,88.6,TRACKING,1,Pose estimation successful.,1,1,1,30,30,30,30,0.095,0.209,0.990,30
449,87.5,TRACKING,1,Pose estimation successful.,1,1,1,30,30,30,30,0.104,0.308,0.990,30
450,88.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.119,0.277,0.988,30
451,87.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.100,0.221,0.990,30
452,86.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.131,0.358,0.987,30
453,87.9,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.164,0.436,0.984,30
454,85.9,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.171,0.393,0.983,30
455,85.9,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.168,0.317,0.983,30
456,83.9,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.150,0.294,0.985,30
457,85.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.215,0.417,0.979,30
458,85.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.163,0.363,0.984,30
459,91.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.205,0.373,0.980,30
460,85.3,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.244,0.540,0.976,30
461,87.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.201,0.399,0.980,30
462,84.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.177,0.416,0.982,30
463,86.1,TRACKING,1,Pose estimation successful.,1,1,1,30,30,30,30,0.183,0.445,0.982,30
464,85.8,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.177,0.423,0.982,30
465,85.7,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.246,0.423,0.975,30
466,87.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.219,0.389,0.978,30
467,87.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.203,0.386,0.980,30
468,87.0,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.196,0.359,0.980,30
469,85.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.256,0.567,0.974,30
470,87.8,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.175,0.348,0.982,30
471,87.6,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.199,0.501,0.980,30
472,86.0,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.136,0.344,0.986,30
473,86.7,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.280,0.682,0.972,30
474,84.9,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.144,0.502,0.986,30
475,85.7,TRACKING,1,Pose estimation successful.,1,1,0,30,29,29,29,0.181,0.685,0.962,29
476,84.6,TRACKING,1,Pose estimation successful.,1,1,0,30,29,29,29,0.144,0.461,0.966,29
477,92.9,TRACKING,1,Pose estimation successful.,1,1,0,31,26,26,26,0.150,0.325,0.905,26
478,86.2,TRACKING,1,Pose estimation successful.,1,1,0,30,29,29,29,0.143,0.334,0.966,29
479,85.0,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.152,0.428,0.985,30
480,86.3,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.161,0.308,0.984,30
481,89.3,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.134,0.331,0.987,30
482,86.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.141,0.340,0.986,30
483,86.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.126,0.249,0.987,30
484,87.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.161,0.344,0.984,30
485,85.6,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.136,0.272,0.986,30
486,87.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.152,0.328,0.985,30
487,87.8,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.262,0.644,0.974,30
488,86.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.196,0.399,0.980,30
489,86.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.302,0.700,0.970,30
490,82.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.350,0.922,0.965,30
491,86.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.376,0.976,0.962,30
492,84.0,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.306,0.896,0.969,30
493,85.0,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.448,1.395,0.955,30
494,83.8,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.573,1.732,0.943,30
495,84.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.679,1.977,0.932,30
496,86.6,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.707,2.238,0.929,30
497,83.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.614,1.919,0.939,30
498,83.7,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.605,2.097,0.939,30
499,87.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.611,1.752,0.939,30
500,85.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.493,1.579,0.951,30
501,83.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.404,1.349,0.960,30
502,85.0,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.294,0.744,0.971,30
503,84.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.378,1.340,0.962,30
504,86.3,TRACKING,1,Pose estimation successful.,1,1,0,27,7,7,7,0.087,0.139,0.531,30
505,84.2,TRACKING,1,Pose estimation successful.,1,1,0,27,7,7,7,0.177,0.411,0.522,30
506,90.3,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.241,0.476,0.976,30
507,84.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.190,0.565,0.981,30
508,84.8,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.165,0.437,0.983,30
509,84.4,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.199,0.383,0.980,30
510,85.3,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.163,0.348,0.984,30
511,85.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.140,0.292,0.986,30
512,85.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.181,0.364,0.982,30
513,84.2,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.192,0.380,0.981,30
514,86.5,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.170,0.394,0.983,30
515,87.9,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,0,0,35,30,30,30,0.285,0.976,0.826,30
516,86.0,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,35,30,30,30,0.207,0.455,0.832,30
517,86.2,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,35,30,30,30,0.235,0.555,0.830,30
518,85.1,TRACKING,1,"Pose estimated with merged fresh+persistent correspondences (5 fresh, 33 total).",1,1,0,35,29,33,29,0.187,0.366,0.961,30
519,85.3,TRACKING,1,"Pose estimated with merged fresh+persistent correspondences (5 fresh, 33 total).",1,1,0,35,29,33,29,0.158,0.425,0.964,30
520,87.2,TRACKING,1,"Pose estimated with merged fresh+persistent correspondences (5 fresh, 33 total).",1,1,1,35,29,33,29,0.172,0.324,0.963,30
521,86.3,TRACKING,1,"Pose estimated with merged fresh+persistent correspondences (5 fresh, 33 total).",1,1,0,35,29,33,29,0.178,0.327,0.962,30
522,84.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.156,0.280,0.984,35
523,84.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.160,0.306,0.984,35
524,84.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.174,0.335,0.983,35
