candidate_rank,frame_index,capture_time_s,used_for_calibration,selected_rank,score,num_charuco,num_aruco,corner_fraction,sharpness,centroid_u,centroid_v,centroid_u_norm,centroid_v_norm,bbox_area_norm,bbox_diag_norm,edge_margin_px,edge_margin_norm,radius_norm,grid_col,grid_row,corner_grid_cells,edge_corners_lrtb,radius_bin,size_bin,selected_reprojection_mean_px
38,329,4.234000,1,4,0.821590,44.000000,29.000000,0.916667,3866.963239,1221.316585,285.127782,0.636434,0.264252,0.137199,0.353109,69.234825,0.064106,0.385205,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:0 5:1 5:2,0/0/7/0,1,3,0.359581
39,332,4.344000,1,5,0.790851,41.000000,27.000000,0.854167,3597.748574,1225.268913,275.186094,0.638493,0.255038,0.130340,0.348525,71.775307,0.066459,0.397962,4,1,3:0 3:1 4:0 4:1 4:2 5:0 5:1 5:2,0/0/6/0,1,3,0.359365
40,334,4.437000,0,,0.724879,37.000000,25.000000,0.770833,3372.728423,1217.511452,282.458466,0.634451,0.261778,0.116942,0.335702,94.989464,0.087953,0.386851,4,1,3:0 3:1 4:0 4:1 4:2 5:0 5:1 5:2,0/0/3/0,1,2,
41,337,4.547000,0,,0.743013,37.000000,25.000000,0.770833,3487.411444,1217.192163,261.555841,0.634285,0.242406,0.115953,0.334776,74.500458,0.068982,0.410821,4,1,3:0 3:1 4:0 4:1 5:0 5:1 5:2,0/0/6/0,1,2,
42,340,4.656000,0,,0.723822,35.000000,24.000000,0.729167,3458.887261,1223.810965,245.542844,0.637734,0.227565,0.108701,0.329634,72.450745,0.067084,0.431720,4,1,3:0 3:1 4:0 4:1 5:0 5:1,0/0/6/0,1,2,
43,342,4.750000,0,,0.694622,33.000000,23.000000,0.687500,3637.074410,1216.282434,244.564215,0.633811,0.226658,0.102726,0.325559,81.180191,0.075167,0.430397,4,1,3:0 3:1 4:0 4:1 5:0 5:1,0/0/5/0,1,2,
44,345,4.859000,0,,0.651214,30.000000,21.000000,0.625000,3843.883723,1223.606152,243.144690,0.637627,0.225343,0.091436,0.313668,91.063828,0.084318,0.434460,4,1,3:0 3:1 4:0 4:1 5:0 5:1,0/0/4/0,1,2,
45,348,4.984000,0,,0.658326,30.000000,21.000000,0.625000,3800.352748,1224.398651,232.529455,0.638040,0.215505,0.090011,0.311863,81.947708,0.075878,0.447197,4,1,3:0 3:1 4:0 4:1 5:0 5:1,0/0/5/0,1,2,
46,351,5.094000,0,,0.632444,28.000000,20.000000,0.583333,3605.721387,1232.077312,227.687440,0.642041,0.211017,0.083305,0.307409,87.008537,0.080563,0.455383,4,1,3:0 3:1 4:0 4:1 5:0 5:1,0/0/5/0,1,2,
47,354,5.203000,0,,0.643435,28.000000,20.000000,0.583333,3632.299339,1234.347907,216.085367,0.643225,0.200264,0.082806,0.307045,74.734680,0.069199,0.469797,4,1,3:0 3:1 4:0 4:1 5:0 5:1,0/0/5/0,1,2,
48,357,5.328000,0,,0.620980,26.000000,19.000000,0.541667,3525.968519,1229.986133,212.555516,0.640952,0.196993,0.076289,0.301669,74.623543,0.069096,0.472611,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/5/0,1,2,
49,360,5.437000,0,,0.561790,24.000000,18.000000,0.500000,3338.333056,1209.284286,211.715619,0.630164,0.196215,0.061376,0.290996,106.571899,0.098678,0.467393,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/4/0,1,2,
50,363,5.562000,0,,0.575178,24.000000,18.000000,0.500000,3124.533320,1210.337819,192.654854,0.630713,0.178549,0.059679,0.291202,90.932045,0.084196,0.490747,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/8/0,1,1,
51,366,5.672000,0,,0.575137,23.000000,17.000000,0.479167,3253.165656,1225.694540,183.113880,0.638715,0.169707,0.058279,0.291667,82.290085,0.076195,0.506627,4,0,3:0 3:1 4:0 4:1 5:0 5:1,0/0/7/0,2,1,
